12.20.56 156 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.43 400 Roll: 0.2 -> 1499, Pitch: 2.2 -> adjustedRequest.Pitch, Yaw: 358 -> 1500
12.21.43 602 Roll: 0.2 -> 1499, Pitch: 2 -> adjustedRequest.Pitch, Yaw: 358 -> 1500
12.21.43 817 Roll: 0.1 -> 1499, Pitch: 2 -> adjustedRequest.Pitch, Yaw: 357 -> 1500
12.21.44 031 Roll: 0.1 -> 1499, Pitch: 2 -> adjustedRequest.Pitch, Yaw: 357 -> 1500
12.21.44 246 Roll: 0.2 -> 1499, Pitch: 1.7 -> adjustedRequest.Pitch, Yaw: 357 -> 1500
12.21.44 456 Roll: 0.4 -> 1498, Pitch: 1.4 -> adjustedRequest.Pitch, Yaw: 356 -> 1500
12.21.44 671 Roll: 0.3 -> 1498, Pitch: 1 -> adjustedRequest.Pitch, Yaw: 356 -> 1500
12.21.44 888 Roll: 0.2 -> 1499, Pitch: 0.7 -> adjustedRequest.Pitch, Yaw: 356 -> 1500
12.21.45 105 Roll: 0.3 -> 1498, Pitch: 0.6 -> adjustedRequest.Pitch, Yaw: 355 -> 1500
12.21.45 315 Roll: 0.3 -> 1498, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 354 -> 1500
12.21.45 516 Roll: 0.2 -> 1499, Pitch: 0.7 -> adjustedRequest.Pitch, Yaw: 354 -> 1500
12.21.45 724 Roll: 0.2 -> 1499, Pitch: 0.8 -> adjustedRequest.Pitch, Yaw: 353 -> 1500
12.21.45 933 Roll: 0.2 -> 1499, Pitch: 0.8 -> adjustedRequest.Pitch, Yaw: 352 -> 1500
12.21.46 135 Roll: 0.3 -> 1498, Pitch: 0.6 -> adjustedRequest.Pitch, Yaw: 352 -> 1500
12.21.46 351 Roll: 0.6 -> 1497, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 352 -> 1500
12.21.46 568 Roll: 0.7 -> 1496, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 352 -> 1500
12.21.46 784 Roll: 0.4 -> 1498, Pitch: 0.6 -> adjustedRequest.Pitch, Yaw: 351 -> 1500
12.21.46 986 Roll: 0.3 -> 1498, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 348 -> 1500
12.21.47 203 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 345 -> 1500
12.21.47 419 Roll: 0 -> 1500, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 339 -> 1500
12.21.47 636 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 336 -> 1500
12.21.47 843 Roll: 0.4 -> 1498, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 334 -> 1500
12.21.48 062 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.48 277 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.48 487 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.48 695 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.48 912 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.49 129 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.49 337 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.49 560 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.49 765 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.49 980 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.50 193 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.50 399 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.50 609 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.50 816 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.51 033 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.51 249 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.51 451 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.51 659 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.51 866 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.52 081 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.52 284 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.52 500 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.52 702 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.52 913 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.53 120 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.53 336 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.53 551 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.53 755 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.53 970 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.54 186 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.54 389 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.54 604 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
12.21.54 806 Roll: 0.9 -> 1495, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 333 -> 1500
